experiment,seed,data_seed,epoch,model_fingerprint,train_seconds,total_loss,main_loss,main_cls_or_obj_loss,main_bbox_loss,main_giou_loss,aux_loss,aux_l1,aux_giou,aux_coverage,collision_rate,aux_weight_mean,projection_conflict_rate,enc_cls_aux_cosine_raw_mean,projection_removed_ratio_mean,epoch_train_seconds,iteration_seconds,peak_extra_cuda_mb,optimizer_step_skip_rate,map,map50,map75,mar100,val_seconds,raw_feature_norm,adapted_feature_norm,decoder_feature_norm
baseline,42,42,0,c16286f63961237b,0.0,,,,,,,,,,,0.0,,,,,,,,9.869228961179033e-05,0.0002362481754971668,6.75238115945831e-05,0.0186605267226696,96.15980600001058,,,
baseline,42,42,1,c16286f63961237b,4485.731777999987,6.2291700941324235,6.2291700941324235,4.850010646065076,0.13519316689670086,0.35159681431700784,,,,,,0.0,,,,4485.731777999987,2.990487851999991,10483.3212890625,0.006,0.03231031447649002,0.07974729686975479,0.01822734996676445,0.30633097887039185,110.57296950000455,,,
baseline,42,42,2,c16286f63961237b,10893.61811879999,1.846353138844172,1.846353138844172,0.6094879347284635,0.11958010868603984,0.31948232920467856,,,,,,0.0,,,,6407.886340800003,4.271924227200002,10393.67333984375,0.0006666666666666666,0.034939102828502655,0.09886470437049866,0.01863006502389908,0.31627020239830017,107.62260919999972,,,
