experiment,seed,scale,image_id,target_index,center_error_sq,center_error_l2,size_error_l1,size_error_relative,matched_iou,label_correct
baseline,42,large,5940,2,0.0003978906315751374,0.019947195425629616,0.10989879071712494,0.3621668815612793,0.667793869972229,1
baseline,42,large,5940,1,0.00037027266807854176,0.01924247108399868,0.02214944362640381,0.054930783808231354,0.9057170748710632,1
baseline,42,large,5940,4,0.0013161265524104238,0.036278460174798965,0.06048786640167236,0.21041175723075867,0.6995832324028015,1
baseline,42,large,5940,0,0.0001384926727041602,0.011768290773034096,0.029100894927978516,0.07922780513763428,0.9198284149169922,1
baseline,42,large,5940,3,0.0005889327730983496,0.02426793798804283,0.022750526666641235,0.07009553164243698,0.8322041630744934,1
baseline,42,large,851,1,0.0018524647457525134,0.04304026812314987,0.03934669494628906,0.1011667251586914,0.7107660174369812,1
baseline,42,large,851,0,0.0001721091102808714,0.013119036331772804,0.03194203972816467,0.06356527656316757,0.9396888613700867,0
baseline,42,medium,2047,0,0.0013813460245728493,0.03716646507382393,0.03430034965276718,0.24573549628257751,0.4792676866054535,0
baseline,42,medium,6404,0,6.465270416811109e-05,0.008040690794587135,0.023669719696044922,0.19827017188072205,0.7004804015159607,0
baseline,42,large,7536,1,3.761363768717274e-05,0.006132995709776878,0.07701745629310608,0.1459181010723114,0.8536084890365601,0
baseline,42,large,7536,0,0.00011609129433054477,0.010774566791951656,0.0921662449836731,0.18001221120357513,0.8425714373588562,0
baseline,42,large,8252,0,2.9964961868245155e-05,0.0054740263149142265,0.049328625202178955,0.12457650154829025,0.8788213729858398,0
baseline,42,large,1206,1,0.00036021010600961745,0.018979201093316078,0.033543236553668976,0.16554208099842072,0.8247337937355042,0
baseline,42,large,1206,0,6.12985240877606e-05,0.007829337380826473,0.07428905367851257,0.2326761782169342,0.7716362476348877,1
baseline,42,large,4121,1,0.00016561865049879998,0.012869291007518768,0.013228371739387512,0.04092491418123245,0.8917434215545654,1
baseline,42,medium,4121,2,0.0004859469481743872,0.02204420417547226,0.04723033308982849,0.2665981948375702,0.6523173451423645,1
baseline,42,large,4121,0,0.00016197559307329357,0.012726963497698307,0.05278380215167999,0.23199030756950378,0.779603898525238,1
baseline,42,medium,4857,8,7.165187707869336e-05,0.008464743383228779,0.011285752058029175,0.09913650155067444,0.8418877124786377,0
baseline,42,small,4857,4,9.293431503465399e-05,0.009640244767069817,0.022208262234926224,0.45097777247428894,0.6323686242103577,1
baseline,42,large,4857,13,0.0027003951836377382,0.05196532607078552,0.12350085377693176,0.32245105504989624,0.6864752769470215,1
baseline,42,large,4857,1,3.320677933515981e-05,0.005762532353401184,0.015813827514648438,0.04893038421869278,0.9512149095535278,1
baseline,42,large,4857,0,0.0003341382252983749,0.01827944815158844,0.02552628517150879,0.08194312453269958,0.8892775774002075,1
baseline,42,medium,4857,2,0.00016221642727032304,0.012736421078443527,0.021188195794820786,0.13157999515533447,0.6514953374862671,1
baseline,42,small,4857,5,0.00010799179290188476,0.010391909629106522,0.007109008729457855,0.07248670607805252,0.6292711496353149,1
baseline,42,large,4857,12,7.440662011504173e-05,0.00862592738121748,0.009759783744812012,0.020190255716443062,0.9502117037773132,1
baseline,42,small,4857,10,5.199643055675551e-05,0.007210854906588793,0.035616181790828705,0.35633304715156555,0.5106716752052307,1
baseline,42,large,4857,11,0.00018824657308869064,0.013720298185944557,0.026178359985351562,0.07044322788715363,0.9042308926582336,1
baseline,42,small,4857,3,7.132838800316676e-05,0.008445613086223602,0.020416028797626495,0.39037683606147766,0.6763575077056885,1
baseline,42,large,4857,6,0.0009238650090992451,0.0303951483219862,0.14403921365737915,0.33229050040245056,0.7384902238845825,0
baseline,42,medium,4857,14,0.000841804314404726,0.02901386469602585,0.011804021894931793,0.09957323968410492,0.8044300079345703,1
baseline,42,medium,4857,7,6.992731505306438e-05,0.008362255059182644,0.07600635290145874,0.462656706571579,0.668344259262085,0
baseline,42,medium,4857,9,0.004202418960630894,0.06482606381177902,0.04631131887435913,0.36460012197494507,0.20501945912837982,0
baseline,42,large,3759,0,6.31443690508604e-05,0.007946343161165714,0.019272714853286743,0.05919349566102028,0.9342541098594666,1
baseline,42,large,3759,2,4.608050949173048e-05,0.006788262631744146,0.05107167363166809,0.1030050590634346,0.8996464610099792,1
baseline,42,large,3759,1,0.00022820403682999313,0.015106423757970333,0.03256756067276001,0.12139344215393066,0.8755614757537842,1
baseline,42,medium,3759,3,0.00046724980347789824,0.02161596156656742,0.04096180200576782,0.20261266827583313,0.7347648739814758,0
baseline,42,large,5057,0,0.0009285963606089354,0.030472878366708755,0.04298165440559387,0.09423528611660004,0.8567643761634827,0
