experiment,seed,matched_tp_score_mean,matched_iou_mean,matched_class_accuracy,fp_score_mean,fp_score_q95,fp_score_q99,fp_score_top10_mean,fp_score_max,tp_minus_top_fp,tp_above_top_fp,duplicate_like_fp50_rate,high_confidence_fp50_count
baseline,42,0.09368921605789143,0.8411627159170483,0.4571428592114345,0.04767478749398952,0.11209144548553487,0.15678557413427727,0.15088988249392613,0.18736807151657084,-0.09367885529671026,0.010869565217391304,0.06531630900850438,0.0
baseline,43,0.11223629659608654,0.8479425401791282,0.4435559023657571,0.04352028738788288,0.10322868945481985,0.14935724550615187,0.14564144757130873,0.19749090982520062,-0.08525461331009865,0.07608695652173914,0.04636158659527807,0.0
baseline,44,0.08686894378827317,0.8375808029719021,0.4000776418201301,0.046298320688631225,0.10924701898804177,0.14260721814049326,0.1390740334501733,0.16581957479533943,-0.07895063118928153,0.0,0.07728597114581372,0.0
shared_e2e,42,0.10350183828774354,0.8538582004282785,0.43920807686188945,0.04384267469868064,0.11353955612234447,0.1622261404181304,0.15501805338198724,0.1891994044670592,-0.08569756587562354,0.03260869565217391,0.0635503293394678,0.0
shared_e2e,43,0.10694182955700418,0.8575190263597862,0.4562370620020058,0.04419794091549904,0.11119241255295018,0.16212755854686964,0.15487214639458968,0.19262141556195592,-0.08567958572150572,0.021739130434782608,0.07000165265407818,0.0
shared_e2e,44,0.1014659562877015,0.8532779676758725,0.4571428592114345,0.04645344475284219,0.10951832641402016,0.14990900456905365,0.1451082243381635,0.17498273953147556,-0.07351678354746621,0.043478260869565216,0.06356583034073043,0.0
