experiment,seed,data_seed,epoch,model_fingerprint,train_seconds,total_loss,main_loss,main_cls_or_obj_loss,main_bbox_loss,main_giou_loss,aux_loss,aux_l1,aux_giou,aux_coverage,collision_rate,aux_weight_mean,projection_conflict_rate,enc_cls_aux_cosine_raw_mean,projection_removed_ratio_mean,epoch_train_seconds,iteration_seconds,peak_extra_cuda_mb,optimizer_step_skip_rate,map,map50,map75,mar100,val_seconds,raw_feature_norm,adapted_feature_norm,decoder_feature_norm
shared_e2e_rep_projected,42,42,0,c16286f63961237b,0.0,,,,,,,,,,,0.0,,,,,,,,9.869228961179033e-05,0.0002362481754971668,6.75238115945831e-05,0.0186605267226696,103.99412329999905,,,
shared_e2e_rep_projected,42,42,1,c16286f63961237b,1114.6842988999997,6.861860796531041,6.039591618975003,4.833780545075735,0.11533803191035986,0.31456044877320527,1.644538320461909,0.18474454859271647,0.3604077880432208,0.9997821350762527,0.00021786492374727668,0.5,0.43466666666666665,0.0004063142725240709,3.697514533996582e-06,1114.6842988999997,0.7431228659333331,10520.74267578125,0.005333333333333333,0.044523935765028,0.09551665186882019,0.03892325237393379,0.3372448682785034,101.3327894000031,4.522791267553965,5.5440314968427025,14.828497334162394
shared_e2e_rep_projected,42,42,2,c16286f63961237b,2197.638391799999,2.2399646832148234,1.6046256415049236,0.5668516095976035,0.0966392161026597,0.2772889753133059,1.2706780846814314,0.13802102384343742,0.2902864823838075,0.9997821350762527,0.00021786492374727668,0.5,0.48933333333333334,0.0002642460372631111,2.9651721318562824e-06,1082.9540928999995,0.7219693952666664,10424.0615234375,0.0013333333333333333,0.08251702785491943,0.174539715051651,0.06826876848936081,0.40398862957954407,101.26930059999722,5.186478439648946,6.83353680006663,14.837585819880168
shared_e2e_rep_projected,42,42,3,c16286f63961237b,3290.8851592999963,2.0205872231324515,1.4579915111064912,0.503395327091217,0.08847596183543403,0.2561081863914927,1.1251914270818233,0.11916347667574882,0.26468702117850385,0.9997821350762527,0.00021786492374727668,0.5,0.472,0.0002357681971201752,3.047466278076172e-06,1093.246767499997,0.7288311783333313,10053.7900390625,0.0,0.09395761787891388,0.1946561634540558,0.07731370627880096,0.4371368885040283,103.3164257999997,5.284303065458934,7.17620193417867,14.725378939946493
shared_e2e_rep_projected,42,42,4,c16286f63961237b,4432.677055399996,1.8886309966246286,1.3769127954641978,0.4683661339680354,0.08326187364508708,0.24611864558855692,1.0234364053706329,0.10691182605239252,0.2444386375596126,0.9997821350762527,0.00021786492374727668,0.5,0.48533333333333334,0.00014727750612598812,3.0113855997721354e-06,1141.7918960999996,0.7611945973999997,10105.6630859375,0.0013333333333333333,0.10761603713035583,0.21884049475193024,0.09474792331457138,0.41880589723587036,106.66574849999961,5.535436592737834,7.700518939971924,14.567066130956015
shared_e2e_rep_projected,42,42,5,c16286f63961237b,5568.520127499993,1.7748552978038787,1.3033819086551666,0.44592651642362274,0.07790378787989417,0.23396822482595842,0.9429467768271764,0.09663116647054752,0.2298954716399312,0.9998910675381264,0.00010893246187363834,0.5,0.4693333333333333,0.00031443761896682315,3.042896588643392e-06,1135.8430720999968,0.7572287147333312,10069.2001953125,0.0,0.10578595101833344,0.22807805240154266,0.08795837312936783,0.4483230710029602,105.58965260000696,5.786322805722555,8.081342447280884,14.410107575734456
shared_e2e_rep_projected,42,42,6,c16286f63961237b,6711.173115399994,1.658090348760287,1.2217906841834387,0.41659916112820305,0.07264431915183862,0.2209849626198411,0.8725993302265803,0.08881098182996114,0.21427221044898034,0.9996732026143791,0.000326797385620915,0.5,0.48333333333333334,0.0002056755953510295,4.1856765747070315e-06,1142.6529879000009,0.7617686586000005,10377.51220703125,0.0,0.10738707333803177,0.21123866736888885,0.09737250953912735,0.4512613117694855,106.85970280000038,5.850501019795736,8.234070781071981,14.324178325653076
shared_e2e_rep_projected,42,42,7,c16286f63961237b,7877.109986499992,1.5691857494910557,1.1571438120206197,0.40053671262661616,0.06772018302356203,0.20900309050579866,0.8240838779310385,0.0833364339346687,0.20370085371782382,0.9997821350762527,0.00021786492374727668,0.5,0.4766666666666667,0.000201535479278873,4.836360613505045e-06,1165.9368710999988,0.7772912473999992,9996.1494140625,0.0,0.12840011715888977,0.26239049434661865,0.11158785969018936,0.4436448812484741,107.76408219999576,5.989680922349294,8.42428654607137,14.289528205871582
shared_e2e_rep_projected,42,42,8,c16286f63961237b,9029.963187899993,1.4696763080358506,1.08992709171772,0.37649097363154094,0.06328945847724875,0.19849441114316385,0.7594984307487805,0.07573928869888187,0.190400992979606,0.9997821350762527,0.00021786492374727668,0.5,0.468,0.00023839795764985183,3.7761529286702473e-06,1152.8532014000011,0.7685688009333341,10041.517578125,0.0,0.13055358827114105,0.2545156478881836,0.12329386174678802,0.44107022881507874,107.87055409999448,6.081267589569092,8.593861262957255,14.205669534683228
shared_e2e_rep_projected,42,42,9,c16286f63961237b,10180.113335999988,1.377426718990008,1.0236647589405379,0.353239665021499,0.059835392118742066,0.18562406621625027,0.7075239188571771,0.07047391800085703,0.17757716441402832,0.9996732026143791,0.000326797385620915,0.5,0.4866666666666667,0.00014602529927173197,5.097309748331705e-06,1150.150148099994,0.7667667653999961,10228.98974609375,0.0006666666666666666,0.1390528380870819,0.28186744451522827,0.12420675903558731,0.45357105135917664,107.04889109999931,6.05750387763977,8.617792404810588,14.19890826288859
