,map,map,map,map50,map50,map50,map75,map75,map75,mar100,mar100,mar100,loc_map,loc_map,loc_map,loc_ap50,loc_ap50,loc_ap50,loc_ap75,loc_ap75,loc_ap75,loc_ar100,loc_ar100,loc_ar100,loc_ap_small,loc_ap_small,loc_ap_small,loc_ap_medium,loc_ap_medium,loc_ap_medium,loc_ap_large,loc_ap_large,loc_ap_large,matched_iou,matched_iou,matched_iou,center_error_l2,center_error_l2,center_error_l2,size_error_l1,size_error_l1,size_error_l1,geometry_recall50,geometry_recall50,geometry_recall50,geometry_recall75,geometry_recall75,geometry_recall75,matched_query_class_accuracy,matched_query_class_accuracy,matched_query_class_accuracy,matched_query_mean_gt_score,matched_query_mean_gt_score,matched_query_mean_gt_score,mean_cls_loss,mean_cls_loss,mean_cls_loss,classification_fp_per_image,classification_fp_per_image,classification_fp_per_image,classification_fp_rate,classification_fp_rate,classification_fp_rate,background_fp_per_image,background_fp_per_image,background_fp_per_image
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,0.0688448585569858,0.030949459142233952,3,0.11789692938327784,0.04083243062021547,3,0.07183195898930227,0.0332812417771736,3,0.3879784941673279,0.05157244160939728,3,0.13773040721813837,0.03731136314116856,3,0.2619309177001317,0.06442407062702983,3,0.12947276234626767,0.04054549188656568,3,0.5779206951459249,0.01709127600146077,3,0.10001773883899051,0.029358566933918796,3,0.11393898477156954,0.014602920867493646,3,0.1885509093602498,0.058323573877306106,3,0.7282870809237162,0.013811990849788004,3,0.043096786985794666,0.00512002208795933,3,0.08603476732969277,0.005437093064667263,3,0.8488745980707395,0.022508038585209,3,0.6355841371918541,0.017709230055582333,3,0.4812433011789925,0.020420749071015674,3,0.11038381256570384,0.0075860030943975835,3,0.6339547538757324,0.030771027454989386,3,12.190000000000003,5.629387178015028,3,0.3545942866557672,0.11355484395341664,3,9.453333333333333,0.647018804466557,3
shared_e2e,0.08014827469984687,0.023734394515645636,3,0.1299047966798146,0.03555418965836063,3,0.08152984331051503,0.02166725946532205,3,0.4035906791687011,0.008868472485583954,3,0.14158860842386875,0.01602458583984177,3,0.26139619449774426,0.026228971081009047,3,0.1355681642889976,0.014797269695452578,3,0.6105037530263265,0.00871335328277182,3,0.09160471955935157,0.01633819852059957,3,0.1303204720218976,0.0197501837713795,3,0.17578802506128943,0.020148566301486825,3,0.7459976474444071,0.0071825131760847455,3,0.039500060180822964,0.0009462757630250635,3,0.07556611051162077,0.0017596285805049775,3,0.8670953912111469,0.022584466779962994,3,0.667738478027867,0.017709230055582354,3,0.4908896034297963,0.013386919610714644,3,0.11481399062146518,0.004470970794693141,3,0.6161894706885019,0.0061265824309615895,3,15.236666666666665,1.9296718201117342,3,0.3994490129222128,0.031234117867044043,3,10.026666666666666,0.983581889490312,3
shared_e2e_rep_projected,0.09439786896109577,0.03260209461075945,3,0.15224465976158771,0.0419952426796875,3,0.10311255107323326,0.03798771717348183,3,0.43484524885813397,0.04326516285895863,3,0.1427771250406901,0.0318528119171623,3,0.2688789367675781,0.04777456192754169,3,0.1458531791965166,0.039380180014719254,3,0.6017149090766907,0.022531762038541837,3,0.09138156970341997,0.013237403593114722,3,0.11997100710868834,0.029038436750087267,3,0.19094536205132803,0.03933520558106606,3,0.7379824121793112,0.013454769250481464,3,0.04115529979268707,0.006022926236312565,3,0.0754573618372281,0.004276251532833901,3,0.8542336548767416,0.012173436968489328,3,0.6645230439442659,0.026966228564649756,3,0.5144694533762059,0.006430868167202523,3,0.11825941120536891,0.007992392642940698,3,0.6077581622203191,0.015682268967562467,3,14.290000000000001,4.129806290856752,3,0.3735200293932947,0.05372628802053681,3,10.383333333333333,1.1125346436553485,3
