experiment,seed,metric_type,key,value,scale
baseline,43,class,chair,0.1635784059762954,
baseline,43,class,cow,0.0815131217241287,
baseline,43,class,diningtable,0.0860096886754036,
baseline,43,class,dog,0.0101774763315916,
baseline,43,class,horse,0.1391603350639343,
baseline,43,class,motorbike,0.1209641695022583,
baseline,43,class,person,0.2670623362064361,
baseline,43,class,pottedplant,0.0323432348668575,
baseline,43,class,sheep,0.0,
baseline,43,class,sofa,0.155811533331871,
baseline,43,class,train,0.0556434877216815,
baseline,43,class,tvmonitor,0.0744937509298324,
baseline,43,class_scale,aeroplane,,small
baseline,43,class_scale,aeroplane,,medium
baseline,43,class_scale,aeroplane,0.1117348843243457,large
baseline,43,class_scale,bicycle,,small
baseline,43,class_scale,bicycle,0.2442244224422442,medium
baseline,43,class_scale,bicycle,0.0706313488491706,large
baseline,43,class_scale,bird,,small
baseline,43,class_scale,bird,0.0787037037037036,medium
baseline,43,class_scale,bird,0.0073670651962674,large
baseline,43,class_scale,boat,,small
baseline,43,class_scale,boat,0.0,medium
baseline,43,class_scale,boat,0.0,large
baseline,43,class_scale,bottle,0.0,small
baseline,43,class_scale,bottle,,medium
baseline,43,class_scale,bottle,0.6277227722772277,large
baseline,43,class_scale,bus,0.0,small
baseline,43,class_scale,bus,0.0,medium
baseline,43,class_scale,bus,0.0373830255277548,large
baseline,43,class_scale,car,0.2551155115511551,small
baseline,43,class_scale,car,0.5017517136329018,medium
baseline,43,class_scale,car,0.3790606201258318,large
baseline,43,class_scale,cat,,small
baseline,43,class_scale,cat,,medium
baseline,43,class_scale,cat,0.0933708313969711,large
baseline,43,class_scale,chair,,small
baseline,43,class_scale,chair,0.2397942855607909,medium
baseline,43,class_scale,chair,0.1249773746194054,large
baseline,43,class_scale,cow,0.0164356435643564,small
baseline,43,class_scale,cow,0.1435516527344724,medium
baseline,43,class_scale,cow,0.0521102972366202,large
baseline,43,class_scale,diningtable,,small
baseline,43,class_scale,diningtable,0.0,medium
baseline,43,class_scale,diningtable,0.178126166275164,large
baseline,43,class_scale,dog,,small
baseline,43,class_scale,dog,,medium
baseline,43,class_scale,dog,0.0122918814241905,large
baseline,43,class_scale,horse,0.0,small
baseline,43,class_scale,horse,0.4599999999999998,medium
baseline,43,class_scale,horse,0.1469539811123969,large
baseline,43,class_scale,motorbike,0.0,small
baseline,43,class_scale,motorbike,0.0,medium
baseline,43,class_scale,motorbike,0.212980772434492,large
baseline,43,class_scale,person,0.1540550981027462,small
