seed,epoch,conflict_rate,update_conflict_rate,optimizer_skip_rate,raw_cosine_mean,raw_cosine_median,removed_ratio_mean,aux_norm_mean,projected_aux_norm_mean,projection_vector_mb
42,1,0.43466666666666665,0.4343163538873995,0.005333333333333333,0.00040631427252406485,7.902794823166914e-05,3.697514533996362e-06,1.1468264219065507,1.1468214877744516,26.362506510416665
42,2,0.48933333333333334,0.48998664886515353,0.0013333333333333333,0.0002642460372631088,7.385201342913206e-06,2.9651721318561553e-06,0.7273665951788425,0.7273646892607212,26.294600260416665
42,3,0.472,0.472,0.0,0.00023576819712017342,3.924375596398022e-05,3.047466278075909e-06,0.6649195363322894,0.6649173726042111,26.4335703125
42,4,0.48533333333333334,0.48531375166889185,0.0013333333333333333,0.00014727750612598633,1.6190652786463033e-05,3.0113855997719706e-06,0.6159602670371532,0.6159584178328514,26.304364583333335
42,5,0.4693333333333333,0.4693333333333333,0.0,0.00031443761896682017,4.6144834414008074e-05,3.042896588643042e-06,0.5691754910449187,0.5691737053990364,26.343727864583332
42,6,0.48333333333333334,0.48333333333333334,0.0,0.00020567559535102694,4.213866304780822e-05,4.1856765747066715e-06,0.5608422665397326,0.5608390527268251,26.36482421875
42,7,0.4766666666666667,0.4766666666666667,0.0,0.0002015354792788698,6.24978456471581e-05,4.8363606135045285e-06,0.5260475040872892,0.5260445366998514,26.408911458333332
42,8,0.468,0.468,0.0,0.0002383979576498471,8.878721564542502e-05,3.776152928669886e-06,0.504074919650952,0.5040729250510534,26.419104166666667
42,9,0.4866666666666667,0.48699132755170116,0.0006666666666666666,0.00014602529927173046,1.9914227777917404e-05,5.097309748331262e-06,0.5016910692155361,0.501688096900781,26.32892578125
42,10,0.474,0.474,0.0,0.00024430761205985183,9.977235094989066e-05,5.468885103860796e-06,0.4905093579093615,0.4905066092511018,26.402740885416666
42,11,0.47,0.4703135423615744,0.0006666666666666666,0.00024385381428578226,0.0001221475358761,6.52515888214056e-06,0.4825604861974716,0.48255687630176547,26.24391796875
42,12,0.462,0.462,0.0,0.0003678753163923504,0.00020834480528715002,5.224188168843074e-06,0.4793138193488121,0.4793109631737073,26.393161458333335
42,13,0.484,0.484,0.0,0.0001477240643346993,0.0001032934087561,5.293925603230457e-06,0.4806080046991507,0.48060519382357597,26.375904947916666
42,14,0.488,0.48798397863818427,0.0013333333333333333,0.00017026674709673606,4.583411828207318e-05,5.614240964253256e-06,0.4918445767859618,0.4918414872388045,26.41352994791667
42,15,0.47533333333333333,0.47533333333333333,0.0,1.878100196290373e-05,0.0001100649351428,6.171067555744882e-06,0.48688870735963186,0.48688546364506086,26.3225859375
42,16,0.492,0.492,0.0,3.488583620297781e-05,3.804762309300713e-05,6.2650044759109776e-06,0.4919443218608697,0.49194091323018074,26.261149739583335
42,17,0.5046666666666667,0.5053404539385847,0.0013333333333333333,8.61862436355912e-06,-1.413009294992662e-05,7.006764411925758e-06,0.49035613642136255,0.4903523364563783,26.319190104166665
42,18,0.506,0.506,0.0,6.366507941341711e-05,-2.5256825210817624e-05,6.423234939574856e-06,0.489835494975249,0.4898319535305103,26.3416015625
42,19,0.508,0.5080106809078772,0.0013333333333333333,0.00016119463034033283,-3.025306432391517e-05,6.3209533691401796e-06,0.48277574916680654,0.4827725397447745,26.370368489583335
42,20,0.51,0.51,0.0,0.0001828711860130177,-4.962931416230276e-05,6.382346153258695e-06,0.4871723531484604,0.48716899237036704,26.34354296875
