experiment,AP,AP@0.50,AP@0.75,AP_small,AP_medium,AP_large,checkpoint_epoch
baseline,0.08756987005472183,0.14064614474773407,0.09094196557998657,0.041103240102529526,0.07692881673574448,0.13351814448833466,7
shared_detach,0.0708041861653328,0.11876573413610458,0.07158616930246353,0.04226626828312874,0.07322578877210617,0.09822862595319748,7
shared_e2e,0.08893294632434845,0.14132140576839447,0.09098850190639496,0.06143735349178314,0.11561763286590576,0.1195618286728859,7
