,map,map,map,map50,map50,map50,map75,map75,map75,mar100,mar100,mar100,main_loss,main_loss,main_loss
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
experiment,,,,,,,,,,,,,,,
baseline,0.0688448585569858,0.030949459142233952,3,0.11789692938327784,0.04083243062021547,3,0.07183195898930227,0.0332812417771736,3,0.3879784941673279,0.05157244160939728,3,1.512700964808464,0.054022646988297264,3
separate_e2e,0.07847911616166431,0.007390723000872737,3,0.12768004586299256,0.011895122524074944,3,0.08713956922292705,0.007737799631514582,3,0.43171878655751544,0.0071522329283143695,3,1.37970724662145,0.034633248755901486,3
shared_detach,0.0760901197791099,0.00578209986577088,3,0.12755755831797913,0.010152610715305894,3,0.07973264654477434,0.010862639067583661,3,0.39900560180346173,0.01375379385749231,3,1.4682229651014012,0.043085136090319893,3
shared_e2e,0.08014827469984687,0.023734394515645636,3,0.1299047966798146,0.03555418965836063,3,0.08152984331051503,0.02166725946532205,3,0.4035906791687011,0.008868472485583954,3,1.352981268862883,0.029972135296753376,3
