,loc_map,loc_map,loc_map,loc_ap50,loc_ap50,loc_ap50,loc_ap75,loc_ap75,loc_ap75,loc_ar100,loc_ar100,loc_ar100,loc_ap_small,loc_ap_small,loc_ap_small,loc_ap_medium,loc_ap_medium,loc_ap_medium,loc_ap_large,loc_ap_large,loc_ap_large,matched_iou,matched_iou,matched_iou,center_error_l2,center_error_l2,center_error_l2,size_error_l1,size_error_l1,size_error_l1,geometry_recall50,geometry_recall50,geometry_recall50,geometry_recall75,geometry_recall75,geometry_recall75
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,0.1523919403553009,0.03865892284210223,2,0.28943268209695816,0.06134198792574093,2,0.14396130293607712,0.04503739528560455,2,0.5868167281150818,0.010458824751675375,2,0.11078989878296852,0.032056424093696315,2,0.11691531538963318,0.019321990892152557,2,0.21535594761371613,0.04992212019760802,2,0.7357505261898041,0.006879250760796635,2,0.040490565821528435,0.003416858179668339,2,0.08296017721295357,0.0015509144631478146,2,0.860128617363344,0.01591558671480975,2,0.6414790996784565,0.020462897204755467,2
localization_gt_e2e_aux010,0.27823159098625183,0.0022545613673932543,2,0.47363846004009247,0.02976231317733165,2,0.309822753071785,3.7868943387038285e-05,2,0.6498392224311829,0.03001226506242551,2,0.1033993698656559,0.004172985812843938,2,0.17520984262228012,0.003532927966289309,2,0.379824697971344,0.003998218637137452,2,0.7902377545833588,0.01797457721868353,2,0.019873701967298985,0.0010821084817160605,2,0.050976360216736794,0.0050090396758643825,2,0.937299035369775,0.011368276224864034,2,0.7282958199356913,0.05229407063437496,2
localization_gt_e2e_aux025,0.2506294697523117,0.04220751889932546,2,0.4293592572212219,0.07187103986374759,2,0.255926676094532,0.04065505027113881,2,0.6488745808601379,0.012732478641444065,2,0.12391573935747147,0.0409205964901817,2,0.17196478694677353,0.06661605488757591,2,0.35164517164230347,0.021385058053336566,2,0.7883941233158112,0.01570168197218804,2,0.021014902740716934,0.004454692714112721,2,0.05217551067471504,0.004195502766660883,2,0.927652733118971,0.02955751818464666,2,0.702572347266881,0.002273655244972799,2
localization_gt_e2e_aux050,0.22608701884746552,0.002085636798561591,2,0.4029838740825653,0.010166578504100836,2,0.22929730266332626,0.009595520316914605,2,0.6491961479187012,0.01000406025624283,2,0.129000972956419,0.00589259830551267,2,0.17174244672060013,0.03311744466317775,2,0.3144698441028595,0.011147841431131471,2,0.7889020144939423,0.001914689181001405,2,0.020095068030059338,0.0005813011884633942,2,0.05197443626821041,0.0013594018176923443,2,0.9340836012861737,0.006820965734918514,2,0.707395498392283,0.01364193146983695,2
localization_only,0.2611260861158371,0.013411527591227334,2,0.4762076139450073,0.01283691853205406,2,0.2506852298974991,0.003272007363870492,2,0.6255626976490021,0.01068620699939165,2,0.1735384315252304,0.015978207445268015,2,0.19587992876768112,0.005736070178499273,2,0.35595452785491943,0.017980014162141438,2,0.7789627015590668,0.00361582028059811,2,0.022421284578740597,0.001158075541978915,2,0.055106207728385925,0.00028361668034193366,2,0.932475884244373,0.004547310489945598,2,0.6655948553054662,0.022736552449728265,2
shared_e2e,0.1502261608839035,0.008119780026442034,2,0.27419982850551605,0.01980705897166444,2,0.14378619194030762,0.005718610846503635,2,0.610932469367981,0.01227771414601152,2,0.10089186206459999,0.004045660183492526,2,0.14172177761793137,0.0004482211972012303,2,0.18419916927814484,0.019683631925800284,2,0.7489885985851288,0.0070357841561660955,2,0.039178267121315,0.0010814670593652855,2,0.07608390972018242,0.002141001952436714,2,0.8681672025723473,0.0318311734296195,2,0.6591639871382636,0.01364193146983695,2
