experiment,seed,fingerprint,checkpoint_epoch,map,map50,map75,mar100,val_seconds
baseline,42,c16286f63961237b,7,0.08756987005472183,0.14064614474773407,0.09094196557998657,0.41555047035217285,5.400503500000923
shared_detach,42,c16286f63961237b,7,0.0708041861653328,0.11876573413610458,0.07158616930246353,0.3801592290401459,5.097843699993973
shared_e2e,42,c16286f63961237b,7,0.08893294632434845,0.14132140576839447,0.09098850190639496,0.41301724314689636,5.2417559000023175
