loc_map,loc_ap50,loc_ap75,loc_ar100,loc_ap_small,loc_ap_medium,loc_ap_large,matched_iou,center_error_l2,size_error_l1,geometry_recall50,geometry_recall75,experiment,reference,seed
0.01942865550518036,0.014136776328086853,0.035714805126190186,0.02282959222793579,0.01562999188899994,0.038786113262176514,-0.009774938225746155,0.013127386569976807,-0.004493094980716705,-0.0064590126276016235,-0.003215434083601254,0.04180064308681675,shared_e2e,baseline,42
-0.02376021444797516,-0.04460248351097107,-0.03606502711772919,0.02540189027786255,-0.035426065325737,0.01082681119441986,-0.05253861844539642,0.013348758220672607,0.0018684975802898407,-0.007293522357940674,0.019292604501607746,-0.006430868167202619,shared_e2e,baseline,43
0.14555351436138153,0.23922733962535858,0.14088383316993713,0.05369776487350464,0.09671414643526077,0.08857131004333496,0.18861263990402222,0.05063331127166748,-0.019666481763124466,-0.029151178896427155,0.08681672025723475,0.054662379421221874,localization_only,baseline,42
0.07191477715969086,0.13432252407073975,0.0725640207529068,0.023794174194335938,0.028782919049263,0.06935791671276093,0.0925845205783844,0.03579103946685791,-0.01647208072245121,-0.02655676007270813,0.05787781350482324,-0.006430868167202619,localization_only,baseline,43
0.15476985275745392,0.248626247048378,0.19773447513580322,0.04919612407684326,0.018227532505989075,0.0744553953409195,0.19694185256958008,0.046641647815704346,-0.02226778119802475,-0.029538553208112717,0.08038585209003224,0.06430868167202575,localization_gt_e2e_aux010,baseline,42
0.09690944850444794,0.11978530883789062,0.1339884251356125,0.07684886455535889,-0.03300859034061432,0.04213365912437439,0.13199564814567566,0.06233280897140503,-0.01896594651043415,-0.03442908078432083,0.07395498392282962,0.10932475884244375,localization_gt_e2e_aux010,baseline,43
0.09572829306125641,0.1324814110994339,0.11506415903568268,0.06045013666152954,0.006857924163341522,0.021607518196105957,0.1564679741859436,0.04640519618988037,-0.018741803243756294,-0.028914660215377808,0.05787781350482324,0.07395498392282962,localization_gt_e2e_aux025,baseline,42
0.1007467657327652,0.14737173914909363,0.10886658728122711,0.06366556882858276,0.019393756985664368,0.08849142491817474,0.11611047387123108,0.05888199806213379,-0.020209522917866707,-0.03265467286109924,0.07717041800643087,0.048231511254019255,localization_gt_e2e_aux025,baseline,43
0.09955629706382751,0.1497376710176468,0.12396730482578278,0.07684886455535889,0.04504508525133133,0.045072272419929504,0.14229688048362732,0.05936974287033081,-0.022400539368391037,-0.031121160835027695,0.09003215434083611,0.09003215434083611,localization_gt_e2e_aux050,baseline,42
0.04783385992050171,0.0773647129535675,0.046704694628715515,0.04790997505187988,-0.00862293690443039,0.0645819902420044,0.055930912494659424,0.04693323373794556,-0.018390456214547157,-0.030850321054458618,0.05787781350482324,0.04180064308681675,localization_gt_e2e_aux050,baseline,43
-0.01942865550518036,-0.014136776328086853,-0.035714805126190186,-0.02282959222793579,-0.01562999188899994,-0.038786113262176514,0.009774938225746155,-0.013127386569976807,0.004493094980716705,0.0064590126276016235,0.003215434083601254,-0.04180064308681675,baseline,shared_e2e,42
