experiment,seed,data_seed,epoch,cosine,main_grad_norm,weighted_aux_grad_norm,norm_ratio,step,projection_scope,enc_cls_aux_cosine_raw,enc_cls_aux_dot_raw,enc_cls_aux_dot_projected,enc_cls_grad_norm,enc_aux_grad_norm,enc_aux_grad_norm_projected,projection_applied,projection_removed_ratio,projection_vector_numel,projection_vector_mb,grad_scale,optimizer_step_skipped
shared_e2e_rep_projected,43,42,1,0.00032685892074368894,1.0769321918487549,0.7579262852668762,0.7037827367438562,0,encoder_output_representation,0.00032685892074368894,0.0005335875321179628,0.0005335875321179628,1.0769321918487549,1.5158525705337524,1.5158525705337524,False,0.0,3194880,12.1875,65536.0,True
shared_e2e_rep_projected,43,42,1,6.952713738428429e-05,0.6097556352615356,0.3690861165523529,0.6053016900680958,1,encoder_output_representation,6.952713738428429e-05,3.129449032712728e-05,3.129449032712728e-05,0.6097556352615356,0.7381722331047058,0.7381722331047058,False,0.0,2350080,8.96484375,32768.0,True
shared_e2e_rep_projected,43,42,1,-0.0014798761112615466,2.121100425720215,1.4323482513427734,0.6752854480505904,2,encoder_output_representation,-0.0014798761112615466,-0.00899218488484621,-9.313225746154785e-10,2.121100425720215,2.864696502685547,2.8646931648254395,True,1.1920928955078125e-06,2785280,10.625,16384.0,True
shared_e2e_rep_projected,43,42,1,-3.853191083180718e-05,0.29809123277664185,0.31453433632850647,1.0551613121885586,3,encoder_output_representation,-3.853191083180718e-05,-7.225498848129064e-06,-1.382431946694851e-10,0.29809123277664185,0.6290686726570129,0.6290687322616577,True,-1.1920928955078125e-07,3133440,11.953125,8192.0,True
shared_e2e_rep_projected,43,42,1,0.0005671720136888325,2.7375853061676025,0.607445240020752,0.22189088999426507,4,encoder_output_representation,0.0005671720136888325,0.0018863382283598185,0.0018863382283598185,2.7375853061676025,1.214890480041504,1.214890480041504,False,0.0,3525120,13.447265625,4096.0,True
shared_e2e_rep_projected,43,42,1,-0.0006116428412497044,1.396764874458313,1.0855602025985718,0.7771960925202739,5,encoder_output_representation,-0.0006116428412497044,-0.0018548342632129788,-4.656612873077393e-10,1.396764874458313,2.1711204051971436,2.1711201667785645,True,1.1920928955078125e-07,2350080,8.96484375,2048.0,True
shared_e2e_rep_projected,43,42,1,0.0007562313694506884,0.9486305713653564,0.42050594091415405,0.443276817769981,6,encoder_output_representation,0.0007562313694506884,0.0006033286335878074,0.0006033286335878074,0.9486305713653564,0.8410118818283081,0.8410118818283081,False,0.0,2088960,7.96875,1024.0,True
shared_e2e_rep_projected,43,42,1,0.00042043428402394056,2.5984785556793213,1.3486113548278809,0.5190003788487347,7,encoder_output_representation,0.00042043428402394056,0.0029466873966157436,0.0029466873966157436,2.5984785556793213,2.6972227096557617,2.6972227096557617,False,0.0,2350080,8.96484375,512.0,True
shared_e2e_rep_projected,43,42,1,-0.00031348568154498935,6.747814178466797,1.0540695190429688,0.15620903171973075,8,encoder_output_representation,-0.00031348568154498935,-0.004459437448531389,-2.3283064365386963e-09,6.747814178466797,2.1081390380859375,2.1081387996673584,True,1.1920928955078125e-07,2264064,8.63671875,256.0,True
shared_e2e_rep_projected,43,42,1,0.000397388736018911,1.1375303268432617,1.1260299682617188,0.9898900641941939,9,encoder_output_representation,0.000397388736018911,0.001018025097437203,0.001018025097437203,1.1375303268432617,2.2520599365234375,2.2520599365234375,False,0.0,2785280,10.625,128.0,False
