experiment,seed,checkpoint_epoch,fingerprint,map,map50,map75,mar100,val_seconds,loc_map,loc_ap50,loc_ap75,loc_ap_small,loc_ap_medium,loc_ap_large,loc_ar100,matched_iou,center_error_l2,size_error_l1,geometry_recall50,geometry_recall75,matched_boxes,gt_boxes,mean_cls_loss,matched_query_class_accuracy,matched_query_mean_gt_score,matched_queries,classification_fp_count,classification_fp_per_image,classification_fp_rate,background_fp_count,background_fp_per_image,detections_at_threshold,classification_score_threshold,classification_iou_threshold
baseline,42,7,c16286f63961237b,0.05987228453159332,0.11015257239341736,0.05927841365337372,0.39149603247642517,5.596727900000133,0.1250559538602829,0.24605734646320343,0.1121150553226471,0.08812258392572403,0.1032526046037674,0.1800556778907776,0.5794212222099304,0.7308861613273621,0.04290664941072464,0.08405683934688568,0.8488745980707395,0.6270096463022508,311,311,0.6522987180948258,0.5048231511254019,0.1093345091549434,311,899,8.99,0.28199498117942284,976,9.76,3188,0.1,0.5
baseline,43,7,d1b7a9f86e187c5e,0.10328926146030426,0.16204696893692017,0.10956421494483948,0.43770211935043335,5.255084800000077,0.1797279268503189,0.3328080177307129,0.17580755054950714,0.133457213640213,0.13057802617549896,0.25065621733665466,0.5942122340202332,0.7406148910522461,0.03807448223233223,0.08186351507902145,0.8713826366559485,0.6559485530546624,311,311,0.59842977643013,0.4694533762057878,0.11843984294383281,311,1869,18.69,0.48545454545454547,871,8.71,3850,0.1,0.5
baseline,44,7,9fffb715f8680daa,0.04337302967905998,0.08149124681949615,0.046653248369693756,0.3347373306751251,5.253709099999924,0.10840734094381332,0.20692738890647888,0.10049568116664886,0.07847341895103455,0.10798632353544235,0.13494083285331726,0.5601286292076111,0.7133601903915405,0.04830922931432724,0.09218394756317139,0.8263665594855305,0.6237942122186495,311,311,0.6511357671022415,0.4694533762057878,0.10337708559833539,311,889,8.89,0.29633333333333334,989,9.89,3000,0.1,0.5
shared_e2e,42,7,c16286f63961237b,0.06964635848999023,0.11460838466882706,0.07543137669563293,0.39420512318611145,5.166219799999908,0.14448460936546326,0.2601941227912903,0.14782986044883728,0.10375257581472397,0.1420387178659439,0.17028073966503143,0.6022508144378662,0.7440135478973389,0.038413554430007935,0.07759782671928406,0.8456591639871383,0.6688102893890675,311,311,0.6204495394229889,0.5016077170418006,0.11798471755009755,311,1476,14.76,0.3791420498330336,1115,11.15,3893,0.1,0.5
shared_e2e,43,7,d1b7a9f86e187c5e,0.10732191056013107,0.17054717242717743,0.10559280216693878,0.40473616123199463,5.2503828999997495,0.15596771240234375,0.2882055342197418,0.13974252343177795,0.09803114831447601,0.14140483736991882,0.19811759889125824,0.6196141242980957,0.7539636492729187,0.03994297981262207,0.07456999272108078,0.8906752411575563,0.6495176848874598,311,311,0.609168232679367,0.49517684887459806,0.1167570046745121,311,1736,17.36,0.43541509907198395,932,9.32,3987,0.1,0.5
shared_e2e,44,7,9fffb715f8680daa,0.0634765550494194,0.10455883294343948,0.06356535106897354,0.41183075308799744,5.2062449999998535,0.12431350350379944,0.23578892648220062,0.11913210898637772,0.07303043454885483,0.10751786082983017,0.15896573662757874,0.6096463203430176,0.7400157451629639,0.04014364629983902,0.07453051209449768,0.864951768488746,0.684887459807074,311,311,0.61895063996315,0.4758842443729904,0.10970024963978595,311,1359,13.59,0.383789889861621,961,9.61,3541,0.1,0.5
shared_e2e_rep_projected,42,7,c16286f63961237b,0.09456244856119156,0.16002210974693298,0.1014229953289032,0.4276885986328125,5.290398099999948,0.16599981486797333,0.3030262291431427,0.18673662841320038,0.10137594491243362,0.1338869333267212,0.22429563105106354,0.5983923077583313,0.74263596534729,0.035033680498600006,0.07187578082084656,0.8488745980707395,0.6816720257234726,311,311,0.5982703220844269,0.5209003215434084,0.12168533127407552,311,1406,14.06,0.3752335201494529,1047,10.47,3747,0.1,0.5
shared_e2e_rep_projected,43,7,d1b7a9f86e187c5e,0.12691736221313477,0.18980751931667328,0.14191685616970062,0.48124250769615173,5.24747780000007,0.1558666229248047,0.2893270254135132,0.14265112578868866,0.09640002995729446,0.13943256437778473,0.2009737491607666,0.6257234811782837,0.7484926581382751,0.04135779291391373,0.07430442422628403,0.8681672025723473,0.6784565916398714,311,311,0.5991447162628174,0.5144694533762058,0.12396774781790001,311,1853,18.53,0.42636907501150484,1145,11.45,4346,0.1,0.5
shared_e2e_rep_projected,44,7,9fffb715f8680daa,0.061713796108961105,0.10690435022115707,0.06599780172109604,0.3956046402454376,5.2186633999999685,0.1064649373292923,0.2142835557460785,0.10817178338766098,0.07636873424053192,0.08659352362155914,0.14756670594215393,0.581028938293457,0.7228186130523682,0.04707442596554756,0.08019188046455383,0.8456591639871383,0.6334405144694534,311,311,0.6258594483137131,0.5080385852090032,0.10912515452413123,311,1028,10.28,0.31895749301892645,923,9.23,3223,0.1,0.5
