experiment,map_mean,map_std,map_count,map50_mean,map50_std,map50_count,map75_mean,map75_std,map75_count,mar100_mean,mar100_std,mar100_count,localization_ratio_mean,localization_ratio_std,localization_ratio_count,main_loss_mean,main_loss_std,main_loss_count,train_seconds_mean,train_seconds_std,train_seconds_count,map_delta_vs_baseline,map50_delta_vs_baseline,map75_delta_vs_baseline,mar100_delta_vs_baseline
baseline,0.07333114556968205,0.04236717379566278,2,0.1217691078782081,0.056961497372609665,2,0.07810873165726655,0.04448477107628575,2,0.38621972501277924,0.07280710029575022,2,0.6243101328889165,0.07327910368666697,2,1.4860424485802648,0.03965896935510887,2,379.9286154999791,1.6064378538362851,2,0.0,0.0,0.0,0.0
separate_e2e,0.07847911616166431,0.007390723000872737,3,0.12768004586299256,0.011895122524074944,3,0.08713956922292705,0.007737799631514576,3,0.43171878655751544,0.007152232928314344,3,0.682674182204313,0.006304586026651937,3,1.37970724662145,0.03463324875590159,3,904.6451176999981,877.9679225081826,3,0.005147970591982257,0.005910937984784453,0.009030837565660504,0.04549906154473621
shared_detach,0.07386393845081325,0.0060934438437352904,2,0.1219860948622226,0.004461365087067582,2,0.07647950947284696,0.013133790396252714,2,0.40298527479171753,0.01683172327446207,2,0.6254021157003844,0.08479362540108747,2,1.4433503253757953,0.000876733895835951,2,1790.135749499983,105.46386399356919,2,0.0005327928811311999,0.00021698698401449723,-0.0016292221844195903,0.016765549778938293
shared_e2e,0.08539923280477521,0.03100334820515914,2,0.1375530026853084,0.04666080232819114,2,0.0845790766179561,0.02971789566735721,2,0.408283457159996,0.005016634011130439,2,0.6135399647142419,0.007921518484575946,2,1.352511228322983,0.04237136013675833,2,382.065449099995,0.30909164757337143,2,0.012068087235093158,0.015783894807100296,0.0064703449606895586,0.02206373214721674
