experiment,seed,image_id,large_gt_count,matched_tp_score_mean,matched_tp_score_min,matched_iou_mean,matched_class_accuracy,fp_query_count,fp_score_mean,fp_score_q95,fp_score_q99,fp_score_top10_mean,fp_score_max,tp_minus_top_fp,tp_above_top_fp,duplicate_like_fp50_count,duplicate_like_fp50_rate,high_confidence_fp50_count,checkpoint_epoch,fingerprint
baseline,42,9724,1,0.08417266607284546,0.08417266607284546,0.9104899168014526,1.0,299,0.03982415422797203,0.07968342304229736,0.09624537825584412,0.094166100025177,0.10558556765317917,-0.02141290158033371,0,11,0.03678929805755615,0,7,c16286f63961237b
baseline,42,7062,1,0.055504098534584045,0.055504098534584045,0.9471753835678101,0.0,299,0.03606100380420685,0.0763116404414177,0.09723088145256042,0.09442989528179169,0.10843374580144882,-0.05292964726686478,0,0,0.0,0,7,c16286f63961237b
baseline,42,9755,2,0.1746562123298645,0.062003761529922485,0.903706431388855,0.5,298,0.037379879504442215,0.08197952806949615,0.16521529853343964,0.15947189927101135,0.2523792088031769,-0.07772299647331238,0,7,0.02348993346095085,0,7,c16286f63961237b
baseline,42,3808,1,0.031664617359638214,0.031664617359638214,0.9622612595558167,0.0,299,0.03779381513595581,0.07388434559106827,0.12008507549762726,0.11508037894964218,0.16862326860427856,-0.13695865869522095,0,0,0.0,0,7,c16286f63961237b
baseline,42,5478,4,0.09469564259052277,0.037801794707775116,0.8269956111907959,0.75,296,0.05971783399581909,0.15104849636554718,0.1845325231552124,0.18425093591213226,0.20771272480487823,-0.11301708221435547,0,55,0.18581081926822662,0,7,c16286f63961237b
baseline,42,7905,1,0.07953161001205444,0.07953161001205444,0.9063704609870911,1.0,299,0.03444366529583931,0.09146817773580551,0.12166512757539749,0.12047144025564194,0.13384005427360535,-0.0543084442615509,0,43,0.14381270110607147,0,7,c16286f63961237b
baseline,42,8633,3,0.09593361616134644,0.08940251916646957,0.7675198316574097,0.0,296,0.041619040071964264,0.10312671959400177,0.14506155252456665,0.14104023575782776,0.1670621633529663,-0.07112854719161987,0,8,0.027027027681469917,0,7,c16286f63961237b
baseline,42,1918,2,0.15664435923099518,0.11178991943597794,0.8841995000839233,1.0,298,0.04546864330768585,0.1587119996547699,0.24709118902683258,0.22643247246742249,0.2781364917755127,-0.12149213254451752,0,14,0.0469798669219017,0,7,c16286f63961237b
baseline,42,4405,4,0.08015060424804688,0.03485666215419769,0.7780048847198486,0.5,296,0.05665798485279083,0.1180000901222229,0.1365915834903717,0.13532648980617523,0.1676727682352066,-0.08752216398715973,0,28,0.09459459781646729,0,7,c16286f63961237b
baseline,42,8443,1,0.05529477074742317,0.05529477074742317,0.6397627592086792,1.0,299,0.03142808377742767,0.05735793709754944,0.0868646502494812,0.08296448737382889,0.1103859469294548,-0.05509117618203163,0,1,0.0033444815780967474,0,7,c16286f63961237b
baseline,42,6654,3,0.1164422258734703,0.08412777632474899,0.8618248701095581,1.0,297,0.048992324620485306,0.1172449141740799,0.19962850213050842,0.18222780525684357,0.23950918018817902,-0.12306695431470871,0,59,0.1986531913280487,0,7,c16286f63961237b
baseline,42,1938,1,0.12186814099550247,0.12186814099550247,0.9695116877555847,1.0,299,0.04470435529947281,0.10253028571605682,0.12325362861156464,0.12018978595733643,0.12670952081680298,-0.004841379821300507,0,42,0.14046822488307953,0,7,c16286f63961237b
baseline,42,6190,1,0.03903890773653984,0.03903890773653984,0.8185514807701111,0.0,299,0.04107019677758217,0.07811971008777618,0.08895494043827057,0.08964172750711441,0.10217474400997162,-0.06313583254814148,0,0,0.0,0,7,c16286f63961237b
baseline,42,5214,1,0.07958653569221497,0.07958653569221497,0.937063455581665,0.0,299,0.036444149911403656,0.09378340095281601,0.10205572098493576,0.10076971352100372,0.10472667217254639,-0.02514013648033142,0,0,0.0,0,7,c16286f63961237b
baseline,42,6020,1,0.06714792549610138,0.06714792549610138,0.9787201285362244,0.0,298,0.040264327079057693,0.07645191997289658,0.08526032418012619,0.08523617684841156,0.09797555953264236,-0.030827634036540985,0,1,0.003355704713612795,0,7,c16286f63961237b
baseline,42,9192,1,0.0589621476829052,0.0589621476829052,0.8995680212974548,0.0,299,0.039612047374248505,0.07925210893154144,0.09563961625099182,0.09580586850643158,0.1322663128376007,-0.07330416142940521,0,0,0.0,0,7,c16286f63961237b
baseline,42,849,1,0.026407627388834953,0.026407627388834953,0.8325435519218445,0.0,299,0.03518345206975937,0.07283695787191391,0.08821873366832733,0.08897115290164948,0.10205206274986267,-0.07564443349838257,0,0,0.0,0,7,c16286f63961237b
baseline,42,3003,3,0.05005216225981712,0.044482871890068054,0.6626386642456055,1.0,296,0.0677766501903534,0.19400142133235931,0.2672164738178253,0.25863391160964966,0.28720277547836304,-0.23715060949325562,0,5,0.01689189299941063,0,7,c16286f63961237b
baseline,42,7900,2,0.06015627086162567,0.049736667424440384,0.8834593892097473,0.0,298,0.0414002351462841,0.08201128244400024,0.09271891415119171,0.09339363873004913,0.11712182313203812,-0.056965552270412445,0,0,0.0,0,7,c16286f63961237b
baseline,42,8095,1,0.08400055766105652,0.08400055766105652,0.9235674738883972,0.0,298,0.038053710013628006,0.10315016657114029,0.12684878706932068,0.12255946546792984,0.14276139438152313,-0.058760836720466614,0,0,0.0,0,7,c16286f63961237b
