mode,step_seconds,step_seconds_sd,peak_extra_cuda_mb,projection_vector_mb,time_over_shared,memory_over_shared_mb
shared_e2e,0.26960699999995086,0.005482468221879433,2282.59228515625,0.0,1.0,0.0
shared_e2e_parameter_projected,0.46655310000005557,0.0023633854297969103,2538.935546875,17.3232421875,1.7304932735431224,256.34326171875
shared_e2e_rep_projected,0.28640420000010636,0.0018253259516191275,2284.69970703125,9.140625,1.0623025366557937,2.107421875
