experiment,seed,data_seed,epoch,cosine,main_grad_norm,weighted_aux_grad_norm,norm_ratio,step,projection_scope,enc_cls_aux_cosine_raw,enc_cls_aux_dot_raw,enc_cls_aux_dot_projected,enc_cls_grad_norm,enc_aux_grad_norm,enc_aux_grad_norm_projected,projection_applied,projection_removed_ratio
shared_e2e_projected,42,42,1,-0.029789937660098076,431.09014892578125,4.112063407897949,0.009538755218936594,0,transformer_encoder,-0.029789937660098076,-105.61546325683594,-4.76837158203125e-05,431.09014892578125,8.224126815795898,8.220476150512695,True,0.000443875789642334
shared_e2e_projected,42,42,1,0.01051819883286953,390.99749755859375,6.653397083282471,0.0170164697340177,1,transformer_encoder,0.01051819883286953,54.72538375854492,54.72538375854492,390.99749755859375,13.306794166564941,13.306794166564941,False,0.0
shared_e2e_projected,42,42,1,0.01301187090575695,315.8059387207031,9.58062744140625,0.030337071811304028,2,transformer_encoder,0.01301187090575695,78.73793029785156,78.73793029785156,315.8059387207031,19.1612548828125,19.1612548828125,False,0.0
shared_e2e_projected,42,42,1,0.02811172604560852,349.75537109375,10.658171653747559,0.03047321795350126,3,transformer_encoder,0.02811172604560852,209.58712768554688,209.58712768554688,349.75537109375,21.316343307495117,21.316343307495117,False,0.0
shared_e2e_projected,42,42,1,-0.019463593140244484,59.78752517700195,3.6960291862487793,0.06181940422030556,4,transformer_encoder,-0.019463593140244484,-8.601990699768066,2.9802322387695312e-08,59.78752517700195,7.392058372497559,7.390658855438232,True,0.00018930435180664062
shared_e2e_projected,42,42,1,0.011981585063040257,402.4300842285156,5.605522155761719,0.013929182671588446,5,transformer_encoder,0.011981585063040257,54.05685806274414,54.05685806274414,402.4300842285156,11.211044311523438,11.211044311523438,False,0.0
shared_e2e_projected,42,42,1,0.0014587093610316515,128.88121032714844,5.690362453460693,0.044151994220231465,6,transformer_encoder,0.0014587093610316515,2.1395788192749023,2.1395788192749023,128.88121032714844,11.380724906921387,11.380724906921387,False,0.0
shared_e2e_projected,42,42,1,-0.001354116015136242,177.9706573486328,9.85294246673584,0.05536273570892405,7,transformer_encoder,-0.001354116015136242,-4.748978614807129,3.5762786865234375e-06,177.9706573486328,19.70588493347168,19.705867767333984,True,8.940696716308594e-07
shared_e2e_projected,42,42,1,-0.025395255535840988,402.748046875,20.986562728881836,0.05210841589852672,8,transformer_encoder,-0.025395255535840988,-429.2964782714844,3.62396240234375e-05,402.748046875,41.97312545776367,41.9595947265625,True,0.0003223419189453125
shared_e2e_projected,42,42,1,0.03174653649330139,154.7657012939453,7.0129714012146,0.04531347283397706,9,transformer_encoder,0.03174653649330139,68.91331481933594,68.91331481933594,154.7657012939453,14.0259428024292,14.0259428024292,False,0.0
