experiment,seed,scale,batch_index,object_count,aux_used,aux_collisions,cosine_total_full,cosine_total_support,cosine_loc_full,cosine_loc_support,main_total_grad_norm,main_loc_grad_norm,center_grad_norm,center_support_positions,checkpoint_epoch,fingerprint
separate_e2e,43,small,29,4,4,0,0.060975730419158936,0.24743860960006714,0.059260036796331406,0.2414160668849945,0.2874634563922882,0.2866039574146271,0.6506775617599487,4,7,d1b7a9f86e187c5e
separate_e2e,43,small,39,3,3,0,0.11517897993326187,0.28063642978668213,0.11124983429908752,0.2727012038230896,0.2923327684402466,0.2848767936229706,1.1756958961486816,3,7,d1b7a9f86e187c5e
separate_e2e,43,small,41,2,2,0,0.005471298936754465,0.033198121935129166,0.005856464616954327,0.03559074550867081,0.24503158032894135,0.2277059257030487,1.0247082710266113,2,7,d1b7a9f86e187c5e
separate_e2e,43,small,45,1,1,0,0.07543210685253143,0.24418388307094574,0.07092131674289703,0.22382816672325134,0.4799763262271881,0.46662741899490356,0.9253453016281128,1,7,d1b7a9f86e187c5e
separate_e2e,43,small,46,5,5,0,0.023900002241134644,0.13829991221427917,0.024510391056537628,0.14607909321784973,0.191454216837883,0.18994086980819702,0.6637042164802551,5,7,d1b7a9f86e187c5e
separate_e2e,43,small,47,6,6,0,0.03615671396255493,0.1603909283876419,0.037011630833148956,0.15971508622169495,0.30929577350616455,0.3153228461742401,0.5412293672561646,6,7,d1b7a9f86e187c5e
shared_e2e,44,small,0,3,3,0,0.004670045338571072,0.27355337142944336,0.005159042309969664,0.28497520089149475,0.8102648258209229,0.750056266784668,0.6451637744903564,3,7,9fffb715f8680daa
shared_e2e,44,medium,0,9,9,0,0.012874017469584942,0.07214266061782837,0.01316704973578453,0.07475071400403976,0.16955384612083435,0.16644743084907532,0.5298872590065002,9,7,9fffb715f8680daa
shared_e2e,44,large,0,12,12,0,0.017775481566786766,0.11940177530050278,0.018455933779478073,0.12416192889213562,0.10325713455677032,0.09983818978071213,0.5084299445152283,12,7,9fffb715f8680daa
shared_e2e,44,large,1,2,2,0,-0.02036667987704277,-0.11708825826644897,-0.021990381181240082,-0.1246323436498642,0.17507396638393402,0.1693858653306961,0.9343486428260803,2,7,9fffb715f8680daa
shared_e2e,44,medium,2,2,2,0,0.028042662888765335,0.21991759538650513,0.02572658285498619,0.20313233137130737,0.2649579644203186,0.26582762598991394,1.707491159439087,2,7,9fffb715f8680daa
shared_e2e,44,large,2,4,4,0,-0.0016915812157094479,-0.02498405985534191,-0.0016855651047080755,-0.024935107678174973,0.606364369392395,0.6031757593154907,1.6243677139282227,4,7,9fffb715f8680daa
shared_e2e,44,medium,3,1,1,0,0.15020257234573364,0.4295042157173157,0.1493760347366333,0.4306783080101013,0.332750529050827,0.3193525969982147,1.8757685422897339,1,7,9fffb715f8680daa
shared_e2e,44,large,3,4,4,0,0.0032925645355135202,0.09319449961185455,0.00349793559871614,0.09216964989900589,0.14820829033851624,0.14675790071487427,0.8101530075073242,4,7,9fffb715f8680daa
