experiment,seed,scale,batch_index,object_count,aux_used,aux_collisions,cosine_total_full,cosine_total_support,cosine_loc_full,cosine_loc_support,main_total_grad_norm,main_loc_grad_norm,center_grad_norm,center_support_positions,checkpoint_epoch,fingerprint
shared_e2e,44,medium,10,1,1,0,-0.014174478128552437,-0.22333136200904846,-0.014004824683070183,-0.22189246118068695,0.4525166451931,0.458453893661499,1.9187610149383545,1,7,9fffb715f8680daa
shared_e2e,44,medium,14,1,1,0,-0.07578729838132858,-0.23170757293701172,-0.07220907509326935,-0.22145375609397888,0.3769151270389557,0.3701269328594208,1.3499054908752441,1,7,9fffb715f8680daa
shared_e2e,44,medium,15,1,1,0,0.007910099811851978,0.04019320011138916,0.007305502891540527,0.036630917340517044,0.3934627175331116,0.37689727544784546,1.2447872161865234,1,7,9fffb715f8680daa
shared_e2e,44,medium,16,1,1,0,5.6425291404593736e-05,0.06702481210231781,4.859930413658731e-05,0.058053310960531235,0.32251954078674316,0.31567513942718506,0.8856827616691589,1,7,9fffb715f8680daa
shared_e2e,44,small,19,4,4,0,0.006216861307621002,0.16261732578277588,0.005822763312608004,0.15590643882751465,0.25162532925605774,0.24991753697395325,0.5152610540390015,4,7,9fffb715f8680daa
shared_e2e,44,small,25,4,4,0,0.089393749833107,0.2390100061893463,0.0914236307144165,0.24365119636058807,0.20803038775920868,0.20332549512386322,0.5078156590461731,4,7,9fffb715f8680daa
shared_e2e,44,small,29,4,4,0,0.003844856983050704,0.04860694706439972,0.004026489797979593,0.05586882680654526,0.36439815163612366,0.3540654182434082,0.6895857453346252,4,7,9fffb715f8680daa
shared_e2e,44,small,39,3,3,0,0.030558302998542786,0.1113445833325386,0.02999812923371792,0.10759107023477554,0.4154830873012543,0.4058898389339447,0.6385623216629028,3,7,9fffb715f8680daa
shared_e2e,44,small,41,2,2,0,0.061110809445381165,0.18938890099525452,0.06533529609441757,0.19909605383872986,0.37562859058380127,0.3626053035259247,0.9684634208679199,2,7,9fffb715f8680daa
shared_e2e,44,small,45,1,1,0,0.016175054013729095,0.08047883212566376,0.014396622776985168,0.07026300579309464,0.6134833693504333,0.5827749371528625,0.9203585386276245,1,7,9fffb715f8680daa
shared_e2e,44,small,46,5,5,0,0.023806726559996605,0.1151588037610054,0.022580107674002647,0.10797318816184998,0.1740616112947464,0.16763852536678314,0.734685480594635,5,7,9fffb715f8680daa
shared_e2e,44,small,47,6,6,0,0.023021910339593887,0.11577469855546951,0.022733328863978386,0.11349122226238251,0.23411577939987183,0.22810383141040802,0.738886833190918,6,7,9fffb715f8680daa
separate_e2e,44,small,0,3,3,0,0.011897456832230091,0.04070664942264557,0.010982247069478035,0.03616180643439293,0.24569524824619293,0.24037720263004303,0.8515419960021973,3,7,9fffb715f8680daa
separate_e2e,44,medium,0,9,9,0,0.051593370735645294,0.2059497982263565,0.04985227808356285,0.20198673009872437,0.15599051117897034,0.1560758650302887,0.45355671644210815,9,7,9fffb715f8680daa
separate_e2e,44,large,0,12,12,0,0.01855023019015789,0.16311457753181458,0.018874498084187508,0.1634671986103058,0.09131895750761032,0.0901290699839592,0.5263587832450867,12,7,9fffb715f8680daa
separate_e2e,44,large,1,2,2,0,0.0008223126060329378,0.028102628886699677,0.0003091554972343147,0.010010095313191414,0.14254088699817657,0.14080379903316498,0.6740350723266602,2,7,9fffb715f8680daa
separate_e2e,44,medium,2,2,2,0,0.0015575502766296268,0.07214672863483429,0.0020664057228714228,0.10081037133932114,0.17965126037597656,0.1724030077457428,1.0798325538635254,2,7,9fffb715f8680daa
separate_e2e,44,large,2,4,4,0,0.001977243460714817,0.04066086933016777,0.001325300894677639,0.02554105781018734,0.2158968299627304,0.21766534447669983,0.9275312423706055,4,7,9fffb715f8680daa
separate_e2e,44,medium,3,1,1,0,0.02281319908797741,0.31850600242614746,0.023380208760499954,0.32028377056121826,0.3590109646320343,0.3491268754005432,1.6903456449508667,1,7,9fffb715f8680daa
separate_e2e,44,large,3,4,4,0,0.0161917582154274,0.12429814040660858,0.017384584993124008,0.13390372693538666,0.17100372910499573,0.16835953295230865,0.8052910566329956,4,7,9fffb715f8680daa
separate_e2e,44,medium,4,4,4,0,0.01065638568252325,0.06518817692995071,0.011365996673703194,0.06748402118682861,0.2971091866493225,0.2941868305206299,0.6926210522651672,4,7,9fffb715f8680daa
separate_e2e,44,large,4,1,1,0,-0.007039761170744896,-0.13269227743148804,-0.008014766499400139,-0.16268719732761383,0.20536965131759644,0.18875204026699066,1.071976661682129,1,7,9fffb715f8680daa
separate_e2e,44,small,5,3,3,0,0.03203665465116501,0.15074928104877472,0.03285066783428192,0.15631753206253052,0.2574886381626129,0.2551794648170471,0.7301533818244934,3,7,9fffb715f8680daa
separate_e2e,44,medium,5,2,2,0,0.048638224601745605,0.1753561794757843,0.05263662338256836,0.1892530620098114,0.23097380995750427,0.22679036855697632,0.9880197644233704,2,7,9fffb715f8680daa
separate_e2e,44,large,5,2,2,0,9.25964122870937e-05,0.030561944469809532,0.00010219583782600239,0.030788714066147804,0.28795066475868225,0.28106752038002014,1.7160954475402832,2,7,9fffb715f8680daa
separate_e2e,44,medium,6,1,1,0,0.09763181954622269,0.5075969696044922,0.09701362252235413,0.5042051672935486,0.3994128704071045,0.38271117210388184,1.3763339519500732,1,7,9fffb715f8680daa
separate_e2e,44,large,6,4,4,0,0.061096515506505966,0.20025281608104706,0.06326204538345337,0.20393162965774536,0.10161095857620239,0.10034176707267761,0.8602885603904724,4,7,9fffb715f8680daa
separate_e2e,44,large,7,2,2,0,0.00010252052743453532,0.010384400375187397,0.0003144983493257314,0.028718993067741394,0.19127169251441956,0.19018030166625977,0.6145893931388855,2,7,9fffb715f8680daa
separate_e2e,44,large,8,3,3,0,-0.045650798827409744,-0.31246158480644226,-0.044229961931705475,-0.30496448278427124,0.22056619822978973,0.2111160159111023,1.0710402727127075,3,7,9fffb715f8680daa
separate_e2e,44,large,9,5,5,0,0.011996598914265633,0.19202545285224915,0.011737385764718056,0.18918395042419434,0.2432001829147339,0.24111340939998627,1.0069665908813477,5,7,9fffb715f8680daa
separate_e2e,44,medium,10,1,1,0,0.1484753042459488,0.3118041157722473,0.15615451335906982,0.3157092332839966,0.4611896276473999,0.4451018273830414,1.3431265354156494,1,7,9fffb715f8680daa
separate_e2e,44,medium,14,1,1,0,0.15841582417488098,0.4974866509437561,0.16404736042022705,0.5114848613739014,0.403216689825058,0.3996179401874542,1.5080602169036865,1,7,9fffb715f8680daa
separate_e2e,44,medium,15,1,1,0,0.1611633598804474,0.305541455745697,0.16711266338825226,0.31395626068115234,0.4644066393375397,0.44490620493888855,1.9126741886138916,1,7,9fffb715f8680daa
separate_e2e,44,medium,16,1,1,0,-0.0054427506402134895,-0.09529784321784973,-0.0051797437481582165,-0.0833127424120903,0.353135883808136,0.3381241261959076,0.623009443283081,1,7,9fffb715f8680daa
separate_e2e,44,small,19,4,4,0,0.028471501544117928,0.10303457826375961,0.026336662471294403,0.09509855508804321,0.1748359054327011,0.171043261885643,0.40517324209213257,4,7,9fffb715f8680daa
separate_e2e,44,small,25,4,4,0,-0.022581346333026886,-0.057947419583797455,-0.025123674422502518,-0.06215742975473404,0.24464477598667145,0.2438986897468567,0.3628806471824646,4,7,9fffb715f8680daa
separate_e2e,44,small,29,4,4,0,-0.005290978122502565,-0.043374817818403244,-0.00551654351875186,-0.0449686236679554,0.28254613280296326,0.2665863335132599,0.5628499388694763,4,7,9fffb715f8680daa
separate_e2e,44,small,39,3,3,0,0.007662465330213308,0.03298438712954521,0.00781707651913166,0.034794509410858154,0.3359435200691223,0.34253013134002686,0.6530966758728027,3,7,9fffb715f8680daa
separate_e2e,44,small,41,2,2,0,0.00046021823072806,0.004455052316188812,0.00025670003378763795,0.002496650442481041,0.44891053438186646,0.4443381726741791,0.9096786379814148,2,7,9fffb715f8680daa
separate_e2e,44,small,45,1,1,0,0.006409042049199343,0.05139413848519325,0.0038172004278749228,0.030196094885468483,0.5168246626853943,0.5052850246429443,0.6816045641899109,1,7,9fffb715f8680daa
separate_e2e,44,small,46,5,5,0,0.0074583664536476135,0.02454143948853016,0.006795440800487995,0.022252526134252548,0.4586312472820282,0.46701517701148987,0.5595079064369202,5,7,9fffb715f8680daa
separate_e2e,44,small,47,6,6,0,0.06120269000530243,0.19988477230072021,0.060532648116350174,0.1986236572265625,0.21355733275413513,0.215781569480896,0.5394288897514343,6,7,9fffb715f8680daa
