experiment,seed,iou_threshold,recall_threshold,precision
baseline,42,0.5,0.74,0.11273468130711788
baseline,42,0.5,0.75,0.11242367652242888
baseline,42,0.5,0.76,0.05660947697656208
baseline,42,0.5,0.77,0.05499028072217269
baseline,42,0.5,0.78,0.05499028072217269
baseline,42,0.5,0.79,0.0546534412090509
baseline,42,0.5,0.8,0.0546534412090509
baseline,42,0.5,0.81,0.04804502324956965
baseline,42,0.5,0.8200000000000001,0.04470555284602362
baseline,42,0.5,0.8300000000000001,0.04470555284602362
baseline,42,0.5,0.84,0.04453612119435939
baseline,42,0.5,0.85,0.04447640296689388
baseline,42,0.5,0.86,0.04447640296689388
baseline,42,0.5,0.87,0.04447640296689388
baseline,42,0.5,0.88,0.039536995259473406
baseline,42,0.5,0.89,0.038730285140871
baseline,42,0.5,0.9,0.038730285140871
baseline,42,0.5,0.91,0.03343148151170293
baseline,42,0.5,0.92,0.03139126861992292
baseline,42,0.5,0.93,0.030793848886745967
baseline,42,0.5,0.9400000000000001,0.02991401375675231
baseline,42,0.5,0.9500000000000001,0.029557527813189887
baseline,42,0.5,0.96,0.029288088241562444
baseline,42,0.5,0.97,0.029288088241562444
baseline,42,0.5,0.98,0.025248275595192427
baseline,42,0.5,0.99,0.025248275595192427
baseline,42,0.5,1.0,0.025248275595192427
baseline,42,0.75,0.0,0.21002343346820088
baseline,42,0.75,0.01,0.21002343346820088
baseline,42,0.75,0.02,0.21002343346820088
baseline,42,0.75,0.03,0.21002343346820088
baseline,42,0.75,0.04,0.21002343346820088
baseline,42,0.75,0.05,0.21002343346820088
baseline,42,0.75,0.06,0.21002343346820088
baseline,42,0.75,0.07,0.21002343346820088
baseline,42,0.75,0.08,0.21002343346820088
baseline,42,0.75,0.09,0.2050234334682009
baseline,42,0.75,0.1,0.19797215141691887
baseline,42,0.75,0.11,0.1963054847502522
baseline,42,0.75,0.12,0.1963054847502522
baseline,42,0.75,0.13,0.1888054847502522
baseline,42,0.75,0.14,0.1888054847502522
baseline,42,0.75,0.15,0.18547215141691883
baseline,42,0.75,0.16,0.18547215141691883
baseline,42,0.75,0.17,0.17979033323510069
baseline,42,0.75,0.18,0.17979033323510069
baseline,42,0.75,0.19,0.1684477406425081
baseline,42,0.75,0.2,0.16787955882432626
baseline,42,0.75,0.21,0.16787955882432626
baseline,42,0.75,0.22,0.16739878959355703
baseline,42,0.75,0.23,0.16404891366303592
baseline,42,0.75,0.24,0.1631001470596204
baseline,42,0.75,0.25,0.1631001470596204
baseline,42,0.75,0.26,0.14912080006556755
baseline,42,0.75,0.27,0.1477319111766786
baseline,42,0.75,0.28,0.1447016081463756
baseline,42,0.75,0.29,0.1447016081463756
baseline,42,0.75,0.3,0.1447016081463756
baseline,42,0.75,0.31,0.13304027786240383
baseline,42,0.75,0.32,0.13079027786240383
baseline,42,0.75,0.33,0.13079027786240383
baseline,42,0.75,0.34,0.12762361119573715
baseline,42,0.75,0.35000000000000003,0.12762361119573715
baseline,42,0.75,0.36,0.12692916675129268
baseline,42,0.75,0.37,0.12692916675129268
baseline,42,0.75,0.38,0.12169260761150776
baseline,42,0.75,0.39,0.12169260761150776
baseline,42,0.75,0.4,0.12169260761150776
baseline,42,0.75,0.41000000000000003,0.11668059315236737
baseline,42,0.75,0.42,0.11668059315236737
baseline,42,0.75,0.43,0.11470384896632084
baseline,42,0.75,0.44,0.11333875967028142
baseline,42,0.75,0.45,0.11333875967028142
baseline,42,0.75,0.46,0.10905763461684514
baseline,42,0.75,0.47000000000000003,0.1067334613518242
baseline,42,0.75,0.48,0.1052551050370818
baseline,42,0.75,0.49,0.1052551050370818
baseline,42,0.75,0.5,0.10495451968666256
baseline,42,0.75,0.51,0.09594766047035963
baseline,42,0.75,0.52,0.09594766047035963
