experiment,seed,map,map50,map75,mar100,val_seconds
baseline,42,0.05987228453159332,0.11015257239341736,0.05927841365337372,0.39149603247642517,5.088005000012345
baseline,43,0.10328926146030426,0.16204696893692017,0.10956421494483948,0.43770211935043335,5.0340632000006735
shared_e2e,42,0.06964635848999023,0.11460838466882706,0.07543137669563293,0.39420512318611145,4.993354199992609
shared_e2e,43,0.10732191056013107,0.17054717242717743,0.10559280216693878,0.40473616123199463,5.022158399995533
