experiment,map_mean,map_sd,map50_mean,map50_sd,map75_mean,train_seconds_mean,aux_coverage_mean,collision_rate_mean
shared_e2e,0.0889329463243484,,0.1413214057683944,,0.0909885019063949,351.1965116000065,0.999236641221374,0.0007633587786259
baseline,0.0875698700547218,,0.140646144747734,,0.0909419655799865,347.30802199999016,,
shared_detach,0.0708041861653328,,0.1187657341361045,,0.0715861693024635,972.675822499994,0.999236641221374,0.0007633587786259
