experiment,seed,data_seed,epoch,model_fingerprint,train_seconds,main_loss,main_bbox_loss,main_giou_loss,aux_loss,aux_l1,aux_giou,aux_coverage,collision_rate,aux_weight_mean,map,map50,map75,mar100,val_seconds,raw_feature_norm,adapted_feature_norm,decoder_feature_norm
baseline,44,42,0,9fffb715f8680daa,0.0,,,,,,,,,0.0,0.006011935416609049,0.015136176720261574,0.003464354667812586,0.05567790940403938,5.524311500004842,,,
baseline,44,42,1,9fffb715f8680daa,51.78603549998661,34.91275261461735,0.17605791304260493,0.4137763413414359,,,,,,0.0,0.007114921696484089,0.022610126063227654,0.0026333529967814684,0.09304625540971756,5.3547663999925135,,,
baseline,44,42,2,9fffb715f8680daa,103.9936184999824,2.1178558331727984,0.13123877385631202,0.3536441246792674,,,,,,0.0,0.0072638606652617455,0.017616596072912216,0.004887577146291733,0.13955408334732056,5.32238420000067,,,
baseline,44,42,3,9fffb715f8680daa,158.0058431999787,2.0648020565509797,0.12643327943980695,0.3519456569105387,,,,,,0.0,0.01671604998409748,0.03283824771642685,0.017872421070933342,0.2094445675611496,5.4221010000037495,,,
baseline,44,42,4,9fffb715f8680daa,212.8028274999815,1.8412692636251449,0.10640668982639909,0.31436715997755527,,,,,,0.0,0.03025844693183899,0.05314121022820473,0.035242121666669846,0.2750144302845001,5.534608800007845,,,
baseline,44,42,5,9fffb715f8680daa,268.876901599986,1.6739292952418328,0.09134053150191904,0.28146930776536466,,,,,,0.0,0.04271699860692024,0.083219975233078,0.04726344347000122,0.3313780725002289,5.4639930999983335,,,
baseline,44,42,6,9fffb715f8680daa,323.76491519997944,1.5583993527293205,0.08227187764830887,0.2545022710971534,,,,,,0.0,0.042630523443222046,0.08175501227378845,0.04609735682606697,0.32470136880874634,5.496528200004832,,,
baseline,44,42,7,9fffb715f8680daa,378.79269239997666,1.514085574746132,0.07833193587139249,0.24891330827027558,,,,,,0.0,0.04337302967905998,0.08149124681949615,0.046653248369693756,0.3347373306751251,5.351517200004309,,,
