experiment,seed,scale,iou_threshold,AP,checkpoint_epoch,fingerprint
separate_e2e,42,medium,0.55,0.20942688102089424,7,c16286f63961237b
separate_e2e,42,large,0.55,0.2012529184262391,7,c16286f63961237b
separate_e2e,42,small,0.6,0.060490771299352146,7,c16286f63961237b
separate_e2e,42,medium,0.6,0.19099363418859513,7,c16286f63961237b
separate_e2e,42,large,0.6,0.19941468955906322,7,c16286f63961237b
separate_e2e,42,small,0.65,0.05743491015768243,7,c16286f63961237b
separate_e2e,42,medium,0.65,0.18020389275698417,7,c16286f63961237b
separate_e2e,42,large,0.65,0.16334850370799164,7,c16286f63961237b
separate_e2e,42,small,0.7,0.050009167583425,7,c16286f63961237b
separate_e2e,42,medium,0.7,0.16377994113973027,7,c16286f63961237b
separate_e2e,42,large,0.7,0.130061245942316,7,c16286f63961237b
separate_e2e,42,small,0.75,0.050009167583425,7,c16286f63961237b
separate_e2e,42,medium,0.75,0.13432751665702244,7,c16286f63961237b
separate_e2e,42,large,0.75,0.12002036266640985,7,c16286f63961237b
separate_e2e,42,small,0.8,0.007229294358007228,7,c16286f63961237b
separate_e2e,42,medium,0.8,0.040946008614102275,7,c16286f63961237b
separate_e2e,42,large,0.8,0.10344568743827838,7,c16286f63961237b
separate_e2e,42,small,0.85,0.007229294358007228,7,c16286f63961237b
separate_e2e,42,medium,0.85,0.00673426717671767,7,c16286f63961237b
separate_e2e,42,large,0.85,0.07064012492492802,7,c16286f63961237b
separate_e2e,42,small,0.9,0.0,7,c16286f63961237b
separate_e2e,42,medium,0.9,0.0015728135313531353,7,c16286f63961237b
separate_e2e,42,large,0.9,0.03986228881150818,7,c16286f63961237b
separate_e2e,42,small,0.95,0.0,7,c16286f63961237b
separate_e2e,42,medium,0.95,0.000541460396039604,7,c16286f63961237b
separate_e2e,42,large,0.95,0.017239659692794482,7,c16286f63961237b
baseline,43,small,0.5,0.10719698954022387,7,d1b7a9f86e187c5e
baseline,43,medium,0.5,0.21900125745193427,7,d1b7a9f86e187c5e
baseline,43,large,0.5,0.2553257089500939,7,d1b7a9f86e187c5e
baseline,43,small,0.55,0.09296890006460966,7,d1b7a9f86e187c5e
baseline,43,medium,0.55,0.21772021599917948,7,d1b7a9f86e187c5e
baseline,43,large,0.55,0.25505833695137503,7,d1b7a9f86e187c5e
baseline,43,small,0.6,0.09235131242592856,7,d1b7a9f86e187c5e
baseline,43,medium,0.6,0.2058777840637177,7,d1b7a9f86e187c5e
baseline,43,large,0.6,0.25392308142716047,7,d1b7a9f86e187c5e
baseline,43,small,0.65,0.08368170150348368,7,d1b7a9f86e187c5e
baseline,43,medium,0.65,0.19342656615269185,7,d1b7a9f86e187c5e
baseline,43,large,0.65,0.2413003124438451,7,d1b7a9f86e187c5e
baseline,43,small,0.7,0.05471213788045471,7,d1b7a9f86e187c5e
baseline,43,medium,0.7,0.11928498202446017,7,d1b7a9f86e187c5e
baseline,43,large,0.7,0.2361102024881268,7,d1b7a9f86e187c5e
baseline,43,small,0.75,0.04198479549447481,7,d1b7a9f86e187c5e
baseline,43,medium,0.75,0.11019299979506214,7,d1b7a9f86e187c5e
baseline,43,large,0.75,0.2072601471497788,7,d1b7a9f86e187c5e
baseline,43,small,0.8,0.0,7,d1b7a9f86e187c5e
baseline,43,medium,0.8,0.05351097976087165,7,d1b7a9f86e187c5e
baseline,43,large,0.8,0.14322970503492696,7,d1b7a9f86e187c5e
baseline,43,small,0.85,0.0,7,d1b7a9f86e187c5e
baseline,43,medium,0.85,0.019665146191006014,7,d1b7a9f86e187c5e
baseline,43,large,0.85,0.10764286609167763,7,d1b7a9f86e187c5e
baseline,43,small,0.9,0.0,7,d1b7a9f86e187c5e
baseline,43,medium,0.9,0.0,7,d1b7a9f86e187c5e
baseline,43,large,0.9,0.05283876186257521,7,d1b7a9f86e187c5e
baseline,43,small,0.95,0.0,7,d1b7a9f86e187c5e
baseline,43,medium,0.95,0.0,7,d1b7a9f86e187c5e
baseline,43,large,0.95,0.012470715271300652,7,d1b7a9f86e187c5e
shared_detach,43,small,0.5,0.0818060972763943,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.5,0.14527518252882846,7,d1b7a9f86e187c5e
shared_detach,43,large,0.5,0.2536212961639276,7,d1b7a9f86e187c5e
shared_detach,43,small,0.55,0.0636021935526886,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.55,0.14072193382547168,7,d1b7a9f86e187c5e
shared_detach,43,large,0.55,0.24506145429652518,7,d1b7a9f86e187c5e
shared_detach,43,small,0.6,0.05327294634225326,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.6,0.128541243385745,7,d1b7a9f86e187c5e
shared_detach,43,large,0.6,0.18518793903150915,7,d1b7a9f86e187c5e
shared_detach,43,small,0.65,0.04101838755304102,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.65,0.11292006840445339,7,d1b7a9f86e187c5e
shared_detach,43,large,0.65,0.18214282228810205,7,d1b7a9f86e187c5e
shared_detach,43,small,0.7,0.020917806066320915,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.7,0.09690347435622478,7,d1b7a9f86e187c5e
shared_detach,43,large,0.7,0.17193401443611794,7,d1b7a9f86e187c5e
shared_detach,43,small,0.75,0.020917806066320915,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.75,0.062155453644558926,7,d1b7a9f86e187c5e
shared_detach,43,large,0.75,0.16326024832549896,7,d1b7a9f86e187c5e
