mode,step_seconds,peak_extra_cuda_mb,projection_vector_mb
shared_e2e,0.2773323999999775,2284.69970703125,0.0
shared_e2e_rep_projected,0.2917993999999453,2284.69970703125,9.140625
shared_e2e_rep_projected,0.290572400000201,2282.59228515625,9.140625
shared_e2e,0.279005700000198,2279.56494140625,0.0
shared_e2e,0.2686866000003647,2284.69970703125,0.0
shared_e2e_rep_projected,0.2843890000003739,2284.69970703125,9.140625
