experiment,seed,checkpoint_epoch,fingerprint,mAP,AP50,AP75,AR100,inference_seconds
baseline,42,7,dc32a3f95dff47eb,0.05987228453159332,0.11015257239341736,0.05927841365337372,0.39149603247642517,5.78543290000016
moment_guided,42,7,c7ca6dae43b5cc30,0.06954358518123627,0.12196536362171173,0.07251325994729996,0.38569021224975586,4.937090799998259
baseline,43,7,70d36536e9f39633,0.10328926146030426,0.16204696893692017,0.10956421494483948,0.43770211935043335,4.787376000000222
moment_guided,43,7,77cc5d9c2d1444b5,0.056465085595846176,0.09559303522109985,0.06300921738147736,0.3601434826850891,4.727182200000243
baseline,44,7,1e6f4a59877d8f17,0.04337302967905998,0.08149124681949615,0.046653248369693756,0.3347373306751251,4.874684599999455
moment_guided,44,7,d2ab171ba43ef6b8,0.07273207604885101,0.1191587820649147,0.07808343321084976,0.4003444314002991,4.861324800000148
