experiment,seed,checkpoint_epoch,image_id,scale,query_index,target_index,target_area_pixels,center_error_x,center_error_y,center_error_l1,covariance_error_l1,predicted_var_x,predicted_var_y,target_var_x,target_var_y,off_diagonal_abs,valid_attention_mass
baseline,42,7,5606,large,1,1,76763.2265625,0.08651646971702576,0.10218566656112671,0.18870213627815247,0.07524228096008301,0.001437803846783936,0.006666556932032108,0.017713185399770737,0.0643322691321373,0.0006505916244350374,0.7586930990219116
baseline,42,7,5606,medium,36,3,2792.40087890625,0.012343145906925201,0.07469010353088379,0.08703324943780899,0.001598656177520752,0.0012113379780203104,0.0017877743812277913,0.0006985130021348596,0.0021587389055639505,0.0003574333095457405,0.8566991090774536
baseline,42,7,5606,large,154,2,99378.734375,0.0771578848361969,0.061978697776794434,0.13913658261299133,0.082612544298172,0.0030219678301364183,0.006465061102062464,0.03492921590805054,0.054678574204444885,0.0012458901619538665,0.7419575452804565
baseline,42,7,5606,medium,175,4,2772.781982421875,0.007200673222541809,0.07264232635498047,0.07984299957752228,0.0006538382149301469,0.0010928618721663952,0.002328323433175683,0.0006256771739572287,0.0023762949276715517,6.934099656064063e-05,0.7870840430259705
baseline,42,7,5606,large,183,0,11165.5126953125,0.018074356019496918,0.06374526023864746,0.08181961625814438,0.012803526595234871,0.0010240881238132715,0.0036067115142941475,0.0016859197057783604,0.014300117269158363,0.0007241446292027831,0.7933905124664307
baseline,42,7,8368,large,220,1,64808.2421875,0.00864630937576294,0.07356095314025879,0.08220726251602173,0.06623909622430801,0.0011037781368941069,0.009409344755113125,0.01837896928191185,0.05759181082248688,0.0003907189820893109,0.8343193531036377
baseline,42,7,8368,large,294,0,105454.2890625,0.00798746943473816,0.027509450912475586,0.035496920347213745,0.0932890772819519,0.00905989482998848,0.009707762859761715,0.06769795715808868,0.041397519409656525,0.0014806304825469851,0.7538483738899231
baseline,42,7,6852,large,118,0,18650.62890625,0.017938852310180664,0.03356963396072388,0.05150848627090454,0.01690587028861046,0.0019673355855047703,0.0038030678406357765,0.01373633649200201,0.008908424526453018,1.575662463437766e-05,0.8552596569061279
baseline,42,7,6852,large,156,1,12931.8701171875,0.008065342903137207,0.026283621788024902,0.03434896469116211,0.014026163145899773,0.0031835422851145267,0.004919472616165876,0.004880331456661224,0.012054750695824623,0.0025970477145165205,0.7503462433815002
baseline,42,7,6852,medium,288,2,4410.00048828125,0.021837234497070312,0.025515258312225342,0.047352492809295654,0.004889768548309803,0.0015812049387022853,0.0015509012155234814,0.004181334283202887,0.0016362409805878997,0.0011021498357877135,0.8670268058776855
baseline,42,7,5879,large,56,0,94576.390625,0.023783475160598755,0.020028352737426758,0.04381182789802551,0.07353562116622925,0.013781119138002396,0.008995968848466873,0.02483348920941353,0.07114800810813904,0.00016560431686230004,0.7228609919548035
baseline,42,7,4439,medium,39,1,3386.24853515625,0.025943726301193237,0.03421032428741455,0.06015405058860779,0.009097268804907799,0.0018179873004555702,0.004176165442913771,0.003675000509247184,0.0007769353105686605,0.0019205129938200116,0.8757035136222839
baseline,42,7,4439,medium,137,0,4915.5009765625,0.03580582141876221,0.015384316444396973,0.05119013786315918,0.015547595918178558,0.009361127391457558,0.0116982851177454,0.004256333224475384,0.0014135283417999744,7.902263314463198e-05,0.8929030299186707
baseline,42,7,4439,medium,180,3,1435.5010986328125,0.014118015766143799,0.04693937301635742,0.06105738878250122,0.016094833612442017,0.008560488931834698,0.0069646527990698814,0.0014520003460347652,0.00035338240559212863,0.0011875370983034372,0.8632937073707581
baseline,42,7,4439,medium,284,2,1029.0001220703125,0.06626054644584656,0.04274308681488037,0.10900363326072693,0.006376257166266441,0.0013372763060033321,0.0036072873044759035,0.0008003333350643516,0.0003294310299679637,0.0012807288439944386,0.8347302675247192
baseline,42,7,3369,medium,118,1,2389.33251953125,0.005806624889373779,0.060949623584747314,0.0667562484741211,0.004561558831483126,0.0008333459263667464,0.002638548845425248,0.00020648555073421448,0.005461331456899643,0.0005559580167755485,0.8783896565437317
baseline,42,7,3369,large,133,2,118802.6875,0.06473073363304138,0.04901614785194397,0.11374688148498535,0.09335143119096756,0.00807893369346857,0.006160878576338291,0.052624598145484924,0.052978381514549255,0.0009941303869709373,0.8026742935180664
baseline,42,7,3369,small,225,3,693.3331909179688,0.02210301160812378,0.07762598991394043,0.09972900152206421,0.01467539370059967,0.003853874048218131,0.005089034792035818,0.00017804105300456285,0.0005333333974704146,0.003221929771825671,0.8608759641647339
baseline,42,7,3369,medium,239,0,2287.9990234375,0.0009373724460601807,0.0013323426246643066,0.0022697150707244873,0.005115498788654804,0.0010292349616065621,0.004122277721762657,0.00017804105300456285,0.0058079990558326244,0.0012892917729914188,0.8102089166641235
baseline,42,7,6062,small,0,1,1019.9993896484375,0.020299136638641357,0.0008033215999603271,0.021102458238601685,0.016734763979911804,0.006861780770123005,0.004436500370502472,0.0008669995004311204,0.00030060074641369283,0.0033020407427102327,0.8456525802612305
baseline,42,7,6062,small,62,2,615.0,0.009427770972251892,0.0030508339405059814,0.012478604912757874,0.00246755825355649,0.0017378164920955896,0.0012897331034764647,0.0005603330791927874,0.0001690881181275472,8.471480396110564e-05,0.7178084254264832
baseline,42,7,6062,large,179,0,35535.00390625,0.020808160305023193,0.023438096046447754,0.04424625635147095,0.04047469422221184,0.005674026906490326,0.003103948663920164,0.03967500105500221,0.007972689345479012,0.0008024894050322473,0.8048534393310547
